unix_time,cmd_rpm,measured_rpm,i_dc_mv
1785368488.985,1600,1651,1834
1785368489.187,1600,1658,1834
1785368489.187,1600,1640,1833
1785368489.392,1600,1613,1833
1785368489.392,1600,1605,1833
1785368489.596,1600,1603,1832
1785368489.596,1600,1604,1832
1785368489.801,1600,1603,1832
1785368489.801,1600,1604,1832
1785368490.005,1600,1604,1832
1785368490.005,1600,1624,1833
1785368490.207,1600,1635,1833
1785368490.207,1600,1637,1833
1785368490.410,1600,1615,1832
1785368490.410,1600,1606,1832
1785368490.610,1600,1603,1832
1785368490.610,1600,1603,1832
1785368490.815,1600,1602,1832
1785368490.815,1600,1606,1832
1785368491.020,1600,1605,1832
1785368491.020,1600,1605,1832
1785368491.222,1600,1604,1832
1785368491.222,1600,1603,1833
1785368491.425,1600,1604,1832
1785368491.425,1600,1605,1832
1785368491.628,1600,1604,1832
1785368491.628,1600,1603,1833
1785368491.832,1600,1605,1832
1785368491.832,1600,1603,1832
1785368492.033,1600,1604,1833
1785368492.033,1600,1606,1833
1785368492.238,1600,1626,1833
1785368492.238,1600,1638,1833
1785368492.439,1600,1642,1833
1785368492.439,1600,1641,1834
1785368492.642,1600,1642,1833
1785368492.643,1600,1634,1833
1785368492.846,1600,1626,1833
1785368492.846,1600,1623,1833
1785368493.048,1600,1598,1832
1785368493.048,1600,1588,1832
1785368493.250,1600,1592,1832
1785368493.250,1600,1603,1832
1785368493.453,1600,1605,1832
1785368493.453,1600,1622,1832
1785368493.657,1600,1638,1833
1785368493.657,1600,1639,1833
1785368493.858,1600,1631,1833
1785368493.858,1600,1626,1833
1785368494.074,1600,1614,1833
1785368494.074,1600,1606,1832
1785368494.277,1600,1608,1833
1785368494.277,1600,1641,1833
1785368494.277,1600,1659,1833
1785368494.480,1600,1655,1833
1785368494.480,1600,1646,1833
1785368494.684,1600,1644,1833
1785368494.684,1600,1633,1833
1785368494.887,1600,1628,1833
1785368494.887,1600,1624,1832
1785368495.090,1600,1623,1833
1785368495.090,1600,1623,1832
1785368495.291,1600,1617,1832
1785368495.291,1600,1606,1832
1785368495.496,1600,1609,1832
1785368495.496,1600,1614,1832
1785368495.698,1600,1622,1832
1785368495.698,1600,1616,1832
1785368495.900,1600,1608,1832
1785368495.900,1600,1606,1832
1785368496.102,1600,1625,1832
1785368496.102,1600,1637,1832
1785368496.306,1600,1640,1832
1785368496.306,1600,1629,1832
1785368496.509,1600,1622,1832
1785368496.509,1600,1620,1832
1785368496.711,1600,1608,1832
1785368496.711,1600,1606,1831
1785368496.915,1600,1604,1831
1785368496.915,1600,1603,1831
1785368497.120,1600,1614,1832
1785368497.120,1600,1633,1832
1785368497.322,1600,1638,1832
1785368497.322,1600,1651,1833
1785368497.524,1600,1659,1833
1785368497.524,1600,1654,1833
1785368497.727,1600,1636,1833
1785368497.727,1600,1624,1832
1785368497.942,1600,1616,1832
1785368497.942,1600,1606,1832
1785368498.146,1600,1605,1832
1785368498.146,1600,1603,1832
1785368498.349,1600,1603,1831
1785368498.349,1600,1606,1832
1785368498.553,1600,1618,1832
1785368498.553,1600,1620,1832
1785368498.757,1600,1622,1832
1785368498.757,1600,1623,1832
1785368498.960,1600,1618,1832
1785368498.960,1600,1609,1832
1785368499.162,1600,1606,1832
1785368499.162,1600,1624,1832
1785368499.384,2400,1646,1833
1785368499.384,2400,1659,1833
1785368499.599,2400,1671,1833
